Input_trt,Agroforestry_trt,Block,Sampling Rep,CEC,pH,SOM,S.NO3.N,S.NH4,S.S,S.P,S.Ca,S.Mg,S.K,S.Na,S.B,S.Fe,S.Mn,S.Cu,S.Zn,S.Al,L.N,L.P,L.Mg,L.K,L.Ca,L.S,L.B,L.Fe,L.Mn,L.Cu,L.Zn,L.Al,Y-2019
AC,Forestal,I,1,15.17,5.3,9.4,27.4,13.3,11,23,1261,117,512,20,0.29,96,104,3.66,2.49,973,2.28,0.167,0.125,1.94,1.08,0.131,31.4,40.7,88.2,9.1,4.3,36.8,0.303
AC,Forestal,I,2,14.44,5.2,9.55,22.1,14.5,13,21,1121,103,490,18,0.25,95,134,3.23,2.13,1004,3.08,0.174,0.124,2.24,0.8,0.162,26.4,41,58.2,9.4,4.7,22.5,0.303
AC,Forestal,II,1,14.82,4.8,8.78,24.6,19.2,19,7,919,147,197,18,0,108,189,2.8,1.8,1123,2.38,0.119,0.168,1.74,0.81,0.129,19.1,36.5,65.8,7.1,4.1,21,1.814
AC,Forestal,II,2,14.13,4.5,9.58,61.4,22.5,19,10,726,135,132,18,0,125,220,2.66,1.68,1215,2.91,0.14,0.205,1.64,0.88,0.177,18.6,39.7,101,14.3,5.9,23.6,1.814
AC,Forestal,III,1,19.45,5.2,8.56,1.2,17.5,11,18,1442,186,648,19,0,123,111,3.95,2.54,1135,2.68,0.129,0.132,1.72,0.9,0.143,32.2,35.9,32.3,9.6,5.5,25.7,1.861
AC,Forestal,III,2,19.08,5.2,8.86,24.5,15.6,11,28,1572,161,395,21,0.25,122,113,3.97,2.73,1105,2.54,0.141,0.128,1.8,0.92,0.138,34.4,40.4,41.7,7,4.8,21.6,1.861
AC,Frutal,I,1,15.17,5,10.1,24.2,18.6,13,18,1022,97,481,16,0,98,133,2.56,1.58,999,3.16,0.101,0.116,1.73,0.88,0.134,21.1,33.4,140,8.1,4.2,20.1,0.357
AC,Frutal,I,2,13.28,5.2,8.96,22,13.6,14,20,891,84,755,18,0,83,96,3.06,1.48,1037,3.04,0.1,0.085,1.76,0.72,0.113,19.3,33,61,7.2,4,11.9,0.357
AC,Frutal,II,1,16.15,4.9,9.24,33.2,16,15,26,1072,162,211,19,0.21,134,132,3.41,2.83,1087,3.16,0.131,0.219,1.64,1.13,0.143,31.3,38.6,59.4,9.4,4.9,25.7,0.572
AC,Frutal,II,2,18.54,5.1,9.15,40,16.4,13,14,1410,195,255,20,0,135,188,4.23,3.27,1004,3.14,0.135,0.159,1.81,0.91,0.151,35.5,46.7,63.3,12.5,5.3,17.5,0.572
